Qty,Value,Device,Package,Parts,Description,Digikey
1,,LED5MM,LED5MM,LED1,LED,67-1097-ND
2,10n,C_CHIP-1206(3216-METRIC),CAPC3216X135,"C1, C2",Capacitor - Generic,478-1542-1-ND
5,10k,R_CHIP-1206(3216-METRIC),RESC3216X70,"R4, R6, R7, R8, R10",Resistor Fixed - Generic,311-10.0KFRCT-ND
1,160R,R_CHIP-1206(3216-METRIC),RESC3216X70,R11,Resistor Fixed - Generic,311-160FRCT-ND
1,22k,R_CHIP-1206(3216-METRIC),RESC3216X70,R12,Resistor Fixed - Generic,311-22.0KFRCT-ND
2,240R,R_CHIP-1206(3216-METRIC),RESC3216X70,"R1, R5",Resistor Fixed - Generic,311-240FRCT-ND
2,510k,R_CHIP-1206(3216-METRIC),RESC3216X70,"R9, R13",Resistor Fixed - Generic,311-510KFRCT-ND
1,510R,R_CHIP-1206(3216-METRIC),RESC3216X70,R2,Resistor Fixed - Generic,RMCF1206FT510RCT-ND
1,5k,R_CHIP-1206(3216-METRIC),RESC3216X70,R3,Resistor Fixed - Generic,YAG5090CT-ND
1,AI-1027-TWT,AI-1027-TWT,AI-1027-TWT,SG1,BUZZER Source: Buerklin,668-1219-ND
2,1N4148W,DIODESOD-123,SOD-123,"D1, D2",Diode,1N4148W-13FDICT-ND
1,BC2AAPC,BC2AAPC,BC2AAPC,BAT1,BC2APPC,BC2AAPC-ND
1,BC807,BC807-40SMD,SOT23-BEC,Q1,PNP Transistror,1727-2917-1-ND
2,BC817,BC817-40LT1SMD,SOT23-BEC,"Q2, Q3",NPN Transistor,1727-2919-1-ND
1,MCP6021T-E/OT,MCP6021T-E/OT,SOT95P280X145-5N,U1,MCP6021T-E/OT OP AMP,MCP6021T-E/OTDKR-ND
1,S1J-E3/61T,S1J-E3/61T,DIODE_DO214AC,D3,,S1J-E3/61TGICT-ND
1,TBU-CA,TBU-CA,RESDFN650X400X90-2N,TBU1,,TBU-CA065-050-WHCT-ND
1,,Banana sockets,,,,501-2347-ND
